title		
آذری	azari	
آفت	afat	
احمد آشور پور	Ahmad ashoorpoor	
احمد ظاهر	ahmad zaher	
احمد والی	ahmad vali	
اسفندیار قره باغی	esfandiar gharebaghi	
اشرفی	ashrafi	
اصفهانی	esfahani	
افسر شهیدی	afsar shahidi	
افغانی	afghani	
اكرم بنایی	akram banaei	
الهه	elahe	
الهه - ستار	elahe	sattar
الهه - ویگن	elahe	vigen
امان الله تاجیک	amanollah tajik	
امل ساین	emel sayin	
امیر آرام	amir aram	
امیر اشكبوس	amir ashkboos	
اندی – كوروس	andi	kooros
ایران الدوله	iranoddoleh	
ایرج (حسین خواجه امیری)	hossein khaje amiri	
ایرج بسطامی	iraj bastami	
ایرج مهدیان	iraj mahdian	
ایلگار مرادف	ilkar moradof	
با همسرایان		
بنان	banan	
بنان - مرضیه	banan	marzieh
بندری		
بهبود اف	behboodof	
بهرام حصیری		
بهزاد	behzad	
بیژن بیژنی	bijan bijani	
بیژن کامکار	bijan kamkar	
بیگدلی		
تاج اصفهانی		
تعریف	x	
جلال همتی		
جمال صفوی (ج.ص)		
جمال منیری		
جمال وفایی		
جمشید شیبانی		
جهان		
جهانشاهی		
حبیب		
حسن ستار	x	
حسن گلنراقی		
حسین طاهر زاده		
حسین همدانیان		
حمید		
حمیرا		
خاطره پروانه		
خوانساری		
خیاط باشی		
داریوش - افشین - كیوان		
داریوش اقبالی		
داریوش رفیعی		
داوود آزاد		
درویش جاویدان		
دریا دادور		
دلكش		
دلكش - عقیلی		
دلكش - ویگن		
دو صدایی	x	
دوامی	x	
رامش		
رشید بهبودف	x	
رشید وطن دوست		
رضا رویگری		
رضا سقایی		
رضا شاکری		
رضوی سروستانی		
ركسانا		
روانبخش		
روح انگیز		
روحبخش	عزت	
رویا		
زهره جویا		
زویا ثابت		
سالار عقیلی		
ستار	x	
ستار - مهستی		
سروش ایزدی		
سعید جعفری		
سوگُل		
سُلی		
سپیده رئیس سادات		
سیامك شجریان		
سید جواد بدیع زاده	x	
سیما بینا		
سیما مافیها		
سیمین غانم		
شادمهر عقیلی		
شاه زیدی		
شاهرخ		
شاپور رحیمی		
شكیلا		
شمسی شمس		
شهرام ناظری		
شهلا سرشار		
عبدالوهاب شهیدی		
شهیدی - الهه		
شور انگیز		
شوكت		
شکیلا		
شیدا	علی اکبر	
شیدا - جاهد		
شیوا		
صدیق تعریف	x	
عارف		
عالم قاسم اف		
عبدالله دوامی		
عبدالوهاب شهیدی		
عزت روحبخش		
عزیز مصطفی زاده		
عقیلی - شهلا سرشار		
علی اصغر زندوكیل		
علی اکبر شکارچی		
علی رستمیان		
علی شیبانی		
علی نظری		
علیرضا افتخاری		
علیرضا قربانی		
عماد رام		
عهدیه		
عهدیه - عارف		
غزال		
غلامحسین اشرفی	x	
غلامعلی روانبخش	x	
فاضل جمشیدی		
فتانه اقبالی		
فداییان		
فرامرز زرگری نژاد		
فرح		
فرزین		
فرشته		
فرهاد	x	
فرهاد كاظمی		
فرهاد مهراد	x	
فریدون فرخزاد		
فریدون فروغی		
قدمی		
قمر	x	
قوامی	fakhteh	
قوامی - الهه		
كارگشا		
كاوه دیلمی		
كرامتی		
كورش یغمایی		
كوروس سرهنگ زاده		
لیلا	x	
مارتیك		
مجید اخشابی		
محبی زاده		
محسن كرامتی		
محسن نامجو		
محلی		
محمد نوری		
محمدرضا شجریان		
محمود زاوندی		
محمود كریمی		
مختاباد		
مرتضی	x	
مرضیه		
مصاحبه		
مصطفی مداحی		
معین		
ملوك ضرابی		
منوچهر سخایی		
منوچهر همایون پور		
منیر وکیلی		
منیژه درودیان		
مهربانو		
مهرداد کاظمی		
مهرپویا	x	
مهسا		
مهستی		
مهستی - ستار		
مهناز معمار		
مینو جوان		
نادر گلچین		
ناشناس		
ناصح پور		
ناصر مسعودی		
ناهید	x	
ناهید سرافراز - حمید قنبری	x	
هایده		
هایده - عقیلی		
هایده - گلپا		
همایون شجریان		
همسرایان		
هنگامه (افغانی)		
هنگامه اخوان		
هوروش خلیلی		
هوشمند عقیلی	x	
ویگن		
پروا		
پروین	x	
پروین - شهیدی	x	
پروین علیپور	x	
پری زنگنه		
پریسا		
پوران		
پوران - ویگن		
کورش یغمایی		
گروه تكخالها		
گروه كر		
گلوریا روحانی		
گلپا	x	
گوگوش		
گیتی	x	
گیتی پاشایی	x	
یاسمین		
یولدوز		
