,,,,ترانه هاي قديمي,,,,,
,,,,CD 1 (1 - 23),,,,,
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,1-1,آسمان هر شب به ماه (آسمان),پوران,قديمي,قديمي,چهارگاه
,,,,1-2,آسمان هر شب به ماه (آسمان),پريسا,قديمي,قديمي,چهارگاه
,,,,1-3,آسمان هر شب به ماه (آسمان),محسن كرامتي,قديمي,قديمي,چهارگاه
,,,,2-1,اگر دل مي بري جانا,پريسا,سماع حضور,جلال اسير,بيات ترك
,,,,2-2,اگر دل مي بري جانا,محسن كرامتي,سماع حضور,جلال اسير,بيات ترك
,,,,3-1,امشب چه شبي است (مبارك بادا),روح انگيز,قديمي,قديمي,چهارگاه
,,,,3-2,امشب چه شبي است (مبارك بادا),حسين همدانيان,قديمي,قديمي,چهارگاه
,,,,3-3,امشب چه شبي است (مبارك بادا),آفت,قديمي,قديمي,چهارگاه
,,,,3-4,امشب چه شبي است (مبارك بادا),عهديه,قديمي,قديمي,چهارگاه
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,3-5,امشب چه شبي است (مبارك بادا),جلال همتي,قديمي,قديمي,چهارگاه
,,,,4-1,اي تير غمت دل عشاق (اي تير غمت),پريسا,حاجي خان,خيالي بخارايي,ماهور
,,,,4-2,اي تير غمت دل عشاق,ايرج,حاجي خان,خيالي بخارايي,ماهور
,,,,4-3,اي تير غمت دل عشاق,هايده,حاجي خان,خيالي بخارايي,ماهور
,,,,4-4,اي تير غمت دل عشاق,محسن كرامتي,حاجي خان,خيالي بخارايي,ماهور
,,,,5,اي خسرو خوبان نظري (خسرو خوبان),شجريان,قديمي,عراقي,ماهور
,,,,6-1,اي كبوتر از آشيان كرانه كردي (كبوتر),عبدالله دوامي,حسام مراد,بهار,ابوعطا
,,,,6-2,اي كبوتر از آشيان كرانه كردي,شجريان,حسام مراد,بهار,ابوعطا
,,,,7-1,اي مه من اي بت چين (بت چين),مرضيه,قديمي,قديمي,اصفهان
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,7-2,اي مه من اي بت چين,شجريان,قديمي,قديمي,اصفهان
,,,,7-3,اي مه من اي بت چين,شجريان,قديمي,قديمي,اصفهان
,,,,7-4,اي مه من اي بت چين,زند وكيل,قديمي,قديمي,اصفهان
,,,,7-5,اي مه من اي بت چين,رضوي سروستاني,قديمي,قديمي,اصفهان
,,,,7-6,اي مه من اي بت چين,رضوي سروستاني,قديمي,قديمي,اصفهان
,,,,7-7,اي مه من اي بت چين,سيما مافيها,قديمي,قديمي,اصفهان
,,,,7-8,اي مه من اي بت چين,عقيلي - شهلا سرشار,قديمي,قديمي,اصفهان
,,,,7-9,اي مه من اي بت چين,كارگشا,قديمي,قديمي,اصفهان
,,,,7-10,اي مه من اي بت چين,مرتضي,قديمي,قديمي,اصفهان
,,,,7-11,اي مه من اي بت چين,محسن كرامتي,قديمي,قديمي,اصفهان
,,,,7-12,اي مه من اي بت چين,يولدوز,قديمي,قديمي,اصفهان
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,7-13,اي مه من اي بت چين,سيامك شجريان,قديمي,قديمي,اصفهان
,,,,8,بار فراق دوستان (فراق),صديق تعريف,قديمي,سعدي,بيات ترك
,,,,9-1,باد صبا بر گل گذر كن (باد صبا),پروين,حسام مراد,بهار,همايون
,,,,9-2,باد صبا بر گل گذر كن,شجريان,حسام مراد,بهار,همايون
,,,,9-3,باد صبا بر گل گذر كن,سيمين غانم,حسام مراد,بهار,همايون
,,,,9-4,باد صبا بر گل گذر كن,محسن كرامتي,حسام مراد,بهار,همايون
,,,,10,تا به تو افتدم نظر (چهره به چهره),شجريان,قديمي,طاهره قره العين,شور
,,,,11-1,تا به تو افتدم نظر (چهره به چهره),شجريان,قديمي,طاهره قره العين,نوا
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,11-2,تا به تو افتدم نظر,شجريان,قديمي,طاهره قره العين,نوا
,,,,11-3,تا به تو افتدم نظر,هوشمند عقيلي,قديمي,طاهره قره العين,نوا
,,,,11-4,تا به تو افتدم نظر,فريدون فروغي,قديمي,طاهره قره العين,نوا
,,,,11-5,تا به تو افتدم نظر,محسن كرامتي,قديمي,طاهره قره العين,نوا
,,,,12-1,تا كي به تمناي وصال تو يگانه (تمناي وصال),الهه,حاجي خان,بهايي بخارايي,شور
